#StarName    r'          i'          z'     
42          9.655       9.858       9.972   
43          9.676       9.346       9.157   
44         10.235       9.934       9.762   
45         10.597      10.287      10.089   
46         10.624      10.716      10.764   
48         10.784      10.739      10.758   
49         10.952      10.828      10.803   
52         11.163      11.243      11.285   
53         11.477      11.039      10.771   
54         11.514      11.530      11.507   
55         11.597      11.685      11.697   
56         11.772      11.848      11.850   
57         11.860      11.789      11.789   
58         11.897      10.924      10.285   
63         12.138      12.213      12.250   
64         12.211      12.189      12.170   
65         12.243      11.634      11.222   
66         12.248      11.641      11.226   
67         12.322      12.252      12.187   
70         12.444      12.418      12.382   
72         12.549      12.029      11.728   
74         12.698      12.232      11.968   
75         12.700      11.881      11.372   
76         12.753      12.775      12.763   
77         12.784      12.893      12.939   
78         12.795      12.735      12.752   
79         12.818      12.625      12.528   
80         13.022      12.737      12.622   
84         13.355      13.265      13.227   
86         13.505      13.333      13.285   
87         13.518      13.404      13.300   
88         13.534      12.582      11.343   
89         13.657      13.470      13.351   
90         13.681      13.393      13.242   
91         13.692      13.408      13.245   
93         13.726      13.585      13.526   
94         13.748      13.596      13.568   
95         13.752      13.571      13.476   
96         13.755      13.613      13.532   
98         13.768      13.384      13.213   
100        13.792      13.804      13.733   
102        13.825      13.742      13.686   
103        13.835      13.682      13.611   
105        13.861      13.702      13.623   
118        14.226      13.946      13.744
333       10.2670      8.98216     8.39008 
334       12.6010      12.2508     12.0597 
335       11.4467      11.2641     11.1773 
336       12.9375      12.8176     12.7699 
337       12.5777      12.3393     12.2177 
338       14.6319      14.4013     14.2846 
339       12.1766      12.0568     12.0090 
340       11.3112      10.9061     10.6809 
341       11.1911      10.8263     10.6260 
342       11.9530      11.6734     11.5262 
343       13.1583      12.9826     12.9001 
344       16.0996      16.7991     17.2613 
345       13.9790      13.7122     13.5729 
346       14.1972      14.0117     13.9231 
347       14.4430      14.2457     14.1497 
348       12.6228      12.4804     12.4186 
349       14.7475      14.6237     14.5735 
350       14.0641      13.4729     13.1317 
351       11.7404      11.4520     11.2993 
352       13.9270      13.6376     13.4843 
353       14.0029      13.7939     13.6906 
354       13.7312      13.5976     13.5413 
355       13.0880      12.8025     12.6517 
356       13.0773      12.8633     12.7570 
357       10.8149      10.4804     10.2990 
358       14.6150      14.3903     14.2773 
359       13.9934      13.8275     13.7510 
360       14.7900      14.5242     14.3855
