rmag  imag  zmag
18.477  18.086  17.858
19.129  18.683  18.417
21.718  21.188  99.999
19.891  19.442  19.137
19.017  18.722  18.552
18.538  18.298  18.166
19.577  19.068  18.734
19.276  18.935  18.765
19.087  18.894  18.830
19.606  19.116  18.785
99.999  18.677  18.528
18.758  18.431  18.275
18.605  18.097  17.756
18.850  18.501  18.325
19.429  18.951  18.649
18.229  17.856  17.675
19.733  19.353  19.213
18.853  18.515  18.328
20.134  19.788  19.550
20.366  20.050  19.820
18.580  18.135  17.872
19.384  19.119  19.026
18.965  18.637  18.490
19.669  19.388  19.268
19.051  18.735  18.568
19.692  19.350  19.250
16.936  16.497  16.235
19.645  19.180  18.835
19.181  18.847  18.719
17.640  17.187  16.914
22.132  21.480  99.999
19.529  19.026  18.705
20.251  20.144  20.196
21.041  20.492  20.102
18.057  17.594  17.293
18.545  18.221  18.031
19.814  19.313  19.059
20.841  20.911  99.999
21.787  21.249  99.999
17.439  16.989  16.714
20.474  20.216  20.009
20.146  19.735  19.502
19.475  19.048  18.813
21.290  20.732  99.999
19.362  19.201  19.083
21.093  20.646  20.619
17.767  17.482  17.323
20.075  19.747  19.550
18.630  18.193  17.909
18.387  17.954  17.685
19.466  19.115  18.891
18.105  17.604  17.291
20.473  20.237  20.080
19.053  18.846  18.632
19.380  19.103  18.964
18.305  18.009  17.827
17.115  16.694  16.427
19.340  18.934  18.685
20.563  20.207  20.017
19.833  19.471  19.273
17.815  17.363  17.062
18.679  18.215  17.925
19.181  18.879  18.732
19.048  18.632  18.320
18.898  18.579  18.411
19.356  18.876  18.531
19.119  18.655  18.321
17.556  17.102  16.837
20.162  19.731  19.407
19.522  19.031  18.704
18.682  18.442  18.315
19.343  18.982  18.821
19.535  19.116  18.847
18.372  18.002  17.811
20.188  19.818  19.587
19.367  19.035  18.869
17.888  17.520  17.286
21.189  20.803  99.999
19.725  19.276  19.013
20.417  20.033  19.686
18.514  18.285  18.170
19.281  18.799  18.523
19.676  19.409  19.293
20.053  19.764  19.620
20.477  20.112  19.774
20.154  19.765  19.564
19.371  19.031  18.807
20.128  19.802  19.648
20.336  99.999  19.881
19.160  18.833  18.651
18.839  18.467  18.261
19.880  19.531  19.318
20.372  19.933  19.746
20.077  19.629  19.363
20.243  19.950  19.792
20.133  19.736  19.539
19.779  19.421  19.199
19.188  18.853  18.675
20.099  19.650  19.435
20.042  19.606  19.415
19.849  19.481  19.255
19.684  19.376  19.208
18.833  18.670  18.582
19.574  19.254  19.070
19.291  99.999  18.889
18.915  18.450  18.141
18.067  17.822  17.710
18.298  17.974  18.014
18.314  99.999  17.749
20.203  19.916  19.837
19.148  18.667  18.327
19.164  18.700  18.289
18.940  18.492  18.209
20.287  19.890  19.758
18.063  17.681  17.464
20.242  20.200  19.905
19.699  19.208  18.718
19.941  19.739  19.614
20.345  20.102  99.999
19.948  19.669  19.497
18.504  18.094  17.779
18.425  18.169  18.024
18.501  18.129  17.955
19.036  18.590  18.293
