rmag	imag	zmag	CMDr	CMDi	CMDz
99.999  99.999   3.677  99.99  99.99   0.00
 8.600   8.295   8.139   0.00   0.00   0.00
 6.925   6.618   6.419   0.02   0.02   0.03
 8.995   8.744   8.582   0.05   0.06   0.06
15.582  15.219  15.159   0.13   0.14   0.16
 7.703   7.413   7.194   0.04   0.05   0.05
 8.570   8.351   8.178   0.04   0.05   0.05
 9.287   9.036   8.865   0.10   0.10   0.10
 6.194   5.916   5.725   0.00   0.00   0.00
99.999  99.999  10.368  99.99  99.99   0.00
99.999  99.999  15.412  99.99  99.99   0.00
99.999  99.999  99.999  99.99  99.99   0.00
99.999  99.999   5.796  99.99  99.99   0.00
99.999  99.999  11.204  99.99  99.99   0.69
99.999  99.999   8.127  99.99  99.99   0.00
99.999  99.999  99.999  99.99  99.99   0.02
99.999  99.999   3.198  99.99  99.99   0.01
99.999  99.999   6.664  99.99  99.99   0.00
99.999  99.999   9.205  99.99  99.99   0.00
99.999  99.999   9.899  99.99  99.99   0.00
 9.820   9.520   9.372   0.24   0.23   0.22
 8.876   8.648   8.477   0.00   0.00   0.00
 8.835   8.542   8.414   0.04   0.04   0.04
99.999  99.999   5.867  99.99  99.99   0.00
 7.184   6.816   6.521   0.00   0.00   0.00
 7.889   7.645   7.477   0.14   0.08   0.05
 7.349   7.072   6.894   0.03   0.02   0.02
 7.417   7.148   6.939   0.00   0.00   0.00
99.999  99.999   4.435  99.99  99.99   0.02
 9.736   9.460   9.301   0.00   0.00   0.00
 7.811   7.689   7.602   0.13   0.09   0.07
99.999  99.999   6.623  99.99  99.99   0.00
99.999  99.999   7.109  99.99  99.99   0.00
99.999  99.999   6.653  99.99  99.99   0.00
99.999  99.999   8.552  99.99  99.99   0.00
99.999  99.999  99.999  99.99  99.99  99.99
99.999  99.999   5.801  99.99  99.99   0.00
99.999  99.999   8.145  99.99  99.99   0.00
 7.811   7.580   7.426   0.00   0.00   0.00
99.999  99.999   6.999  99.99  99.99   0.05
99.999  99.999   6.313  99.99  99.99   0.00
99.999  99.999   7.090  99.99  99.99   0.00
99.999  99.999   6.676  99.99  99.99   0.00
99.999  99.999   8.231  99.99  99.99   0.00
99.999  99.999   7.231  99.99  99.99   0.03
99.999  99.999   6.908  99.99  99.99   0.00
99.999  99.999   6.562  99.99  99.99   0.00
10.927  10.719  99.999   0.12   0.13  99.99
99.999  99.999   6.769  99.99  99.99   0.10
99.999  99.999   7.334  99.99  99.99   0.00
99.999  99.999   5.754  99.99  99.99   0.00
99.999  99.999   6.203  99.99  99.99   0.00
99.999  99.999  99.999  99.99  99.99  99.99
99.999  99.999   5.450  99.99  99.99   0.00
99.999  99.999  10.030  99.99  99.99   0.00
99.999  99.999   6.080  99.99  99.99   0.00
99.999  99.999   5.700  99.99  99.99   0.00
 8.381  99.999  99.999  99.99  99.99  99.99
99.999  99.999  99.999  99.99  99.99   0.55
 7.918   7.613   7.411   0.00   0.00   0.00
 7.148   6.738   6.457   0.14   0.12   0.11
 4.341  99.999  99.999  99.99  99.99  99.99
99.999  99.999  99.999  99.99  99.99   0.01
 5.145   4.966   4.822   0.09   0.06   0.04
 7.238   6.976   6.866   0.00   0.00   0.00
 6.427   6.148   6.016   0.14   0.18   0.22
 8.048   7.605   7.278   0.04   0.03   0.04
 9.279   9.017   8.947   0.00   0.00   0.00
 7.696   7.285   7.009   0.00   0.00   0.00
 5.706   5.424  99.999  99.99  99.99  99.99
 8.351   8.033   7.849   0.00   0.00   0.00
 7.693   7.306  99.999   0.00   0.00   0.00
99.999  99.999   8.152  99.99  99.99   0.12
99.999  99.999   8.737  99.99  99.99   0.00
99.999  99.999   9.349  99.99  99.99   0.11
99.999  99.999  99.999  99.99  99.99   0.00
99.999  99.999  99.999  99.99  99.99   0.00
99.999  99.999   6.946  99.99  99.99   0.00
99.999  99.999   6.810  99.99  99.99   0.00
99.999  99.999   6.341  99.99  99.99   0.05
99.999  99.999   6.522  99.99  99.99   0.00
 8.138   7.879   7.748   0.00   0.00   0.00
99.999  99.999  11.567  99.99  99.99   0.00
 7.498   7.328   7.216   0.62   0.39   0.33
99.999  99.999  10.413  99.99  99.99   0.00
99.999  99.999  99.999  99.99  99.99   0.00
 8.608   8.320   8.099   0.00   0.00   0.00
 9.007   8.754   8.572   0.00   0.00   0.00
 9.666   9.391   9.213   0.00   0.00   0.00
99.999  99.999  10.423  99.99  99.99   0.02
 6.692   6.439   6.288   0.00   0.00   0.00
 6.836   6.567   6.384   0.01   0.00   0.00
99.999  99.999   7.501  99.99  99.99   0.00
11.826  11.482  11.345   1.24   1.15   1.06
15.690  15.244  15.843   0.00   0.00   0.00
11.824  11.570  11.560   0.00   0.00   0.00
